Table 41.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIENS REMOVED BY CRIMINAL STATUS AND REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of nationality,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,
,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,82,6,76,60,6,54,113,9,104,100,4,96,355,19,336,236,15,221,100,10,90,52,5,47,29,7,22,19,3,16,
Sudan,22,5,17,13,5,8,15,4,11,19,10,9,27,16,11,17,9,8,29,18,11,16,11,5,13,D,D,11,6,5,
Suriname,21,7,14,12,6,6,14,4,10,17,7,10,11,5,6,13,7,6,5,5,-,13,10,3,5,D,D,5,D,D,
Sweden,25,8,17,35,10,25,38,7,31,64,8,56,48,8,40,29,7,22,33,16,17,23,13,10,15,10,5,17,6,11,
Switzerland,15,10,5,16,4,12,20,5,15,22,D,D,13,D,D,12,6,6,13,4,9,8,4,4,9,D,D,4,D,D,
Syria,70,21,49,40,7,33,46,9,37,34,12,22,54,17,37,36,12,24,16,D,D,17,3,14,6,-,6,4,-,4,
Taiwan,86,9,77,126,15,111,81,24,57,85,14,71,62,18,44,69,14,55,47,15,32,46,14,32,43,7,36,31,9,22,
Tajikistan,D,-,D,D,-,D,10,3,7,13,D,D,16,D,D,33,10,23,16,6,10,9,4,5,6,D,D,3,D,D,
Tanzania,20,5,15,23,8,15,41,12,29,42,15,27,31,14,17,27,9,18,15,9,6,25,15,10,27,14,13,19,10,9,
Thailand,73,16,57,91,13,78,102,20,82,105,25,80,115,26,89,87,15,72,70,25,45,60,18,42,51,17,34,53,15,38,
Togo,23,7,16,23,7,16,30,4,26,28,14,14,18,6,12,16,5,11,16,7,9,8,D,D,5,D,D,11,3,8,
Tonga,32,23,9,32,23,9,38,27,11,31,23,8,34,22,12,45,37,8,33,27,6,21,D,D,29,D,D,19,12,7,
Trinidad and Tobago,398,248,150,363,234,129,478,273,205,484,258,226,380,264,116,326,236,90,233,177,56,169,134,35,163,136,27,126,102,24,
